NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
3491	to frighten	to frighten			N/a
3492	to fulfill a vow	to fulfill a vow			N/a
3493	to function	to function	to carry out a function; to be in action		N/a
3494	to gain, to earn	to gain, to earn			N/a
3495	to gamble	to gamble			Interpersonal relations
3496	to gas (a car), to refuel	to gas (a car), to refuel			Physical effect
3497	to gather in the crops	to gather in the crops			N/a
3498	to gather, collect	to gather, collect			N/a
3499	to get (in games)	to get (in games)			N/a
3500	to get (to), to find oneself (in)	to get (to), to find oneself (in)			Location
3501	to get a cramp, spasm	to get a cramp, spasm	to get an uncontrolled painful contraction of a muscle		Physiologic processes and states
3502	to get accustomed	to get accustomed			Interpersonal relations
3503	to get along (with smb.)	to get along (with smb.)	to interact or coexist well, without argument or trouble		N/a
3504	to get angry	to get angry			N/a
3505	to get dark	to get dark			N/a
3506	to get dirty, soiled	to get dirty, soiled			Physical processes
3507	to get drunk	to get drunk			Physical processes
3508	to get dry	to get dry			Physical processes
3509	to get immunity	to get immunity	become immune to a disease as a result of vaccination or past illness		N/a
3510	to get information	to get information			N/a
3511	to get money	to get money			N/a
3512	to get mouldy (musty)	to get mouldy (musty)			Physical processes
3513	to get moving	to get moving	to begin moving		N/a
3514	to get off a vehicle	to get off a vehicle			Motion
3515	to get on a vehicle	to get on a vehicle			Motion
3516	to get on well, be on good terms	to get on well, be on good terms	to have a good relationship		Interpersonal relations
3517	to get rid of	to get rid of	to do something so as to no longer be bothered by something or someone		N/a
3518	to get stuck	to get stuck	to find itself (oneself) in a position which makes it impossible to move		Physical processes
3519	to get tired	to get tired	to become weary, drained of energy		Physical processes
3520	to get tired	to get tired			N/a
3521	to get wet	to get wet	to become soaked with liquid		Physical processes
3522	to get, obtain	to get, obtain	to gain possession of something		Possession
3523	to give	to give	to put another person in possession of something		Physical effect
3524	to give birth	to give birth	to become parent by releasing offspring		Physical effect
3525	to give birth to twins	to give birth to twins			N/a
3526	to glorify	to glorify	to exalt, praise something or someone		Interpersonal relations
3527	to gnaw	to gnaw	to bite something persistently		Physical effect
3528	to go against the wind	to go against the wind	to move in the direction opposite the one in which the wind blows		N/a
3529	to go apart, in various directions	to go apart, in various directions			Motion
3530	to go around	to go around			Motion
3531	to go away	to go away			Motion
3532	to go blind	to go blind			N/a
3533	to go crazy	to go crazy			N/a
3534	to go deaf	to go deaf			N/a
3535	to go down	to go down			Motion
3536	to go downstream	to go downstream	to move along in the flow of current, for example in relation to a river		N/a
3537	to go forward, advance	to go forward, advance			Motion
3538	to go mad	to go mad			Mental acts and states
3539	to go out	to go out			Motion
3540	to go out (of fire)	to go out (of fire)			N/a
3541	to go out (of light)	to go out (of light)	None		Physical processes
3542	to go overripe	to go overripe			N/a
3543	to go through	to go through			N/a
3544	to go up	to go up			Motion
3545	to go upstream	to go upstream			N/a
3546	to go, walk	to go, walk			Motion
3547	to govern, control, rule	to govern, control, rule			Interpersonal relations
3548	to grasp, seize	to grasp, seize			Physical effect
3549	to graze	to graze	to eat grass from a pasture		N/a
3550	to greet	to greet			Speech
3551	to grieve (intr.)	to grieve (intr.)			Mental acts and states
3552	to grieve (tr.)	to grieve (tr.)			Emotions
3553	to grind (with the pestle)	to grind (with the pestle)			N/a
3554	to grow (plants)	to grow (plants)			Other physical
3555	to grow heavy	to grow heavy	to increase in weight		N/a
3556	to grow numb	to grow numb			Physical processes
3557	to grow thin	to grow thin			Physical processes
3558	to grow up	to grow up			Physical processes
3559	to growl	to growl			N/a
3560	to grudge	to grudge			Mental acts and states
3561	to grumble	to grumble			Speech
3562	to guard	to guard			Interpersonal relations
3563	to guess	to guess			Mental acts and states
3564	to hang	to hang			Space
3565	to hang (tr.)	to hang (tr.)	to suspend, fasten to an elevated point		N/a
3566	to happen	to happen			Existence
3567	to harass	to harass			N/a
3568	to harden	to harden			N/a
3569	to harm, to damage	to harm, to damage			N/a
3570	to harness	to harness			Physical effect
3571	to hatch eggs	to hatch eggs			N/a
3572	to hatch out, brood	to hatch out, brood			Physical effect
3573	to hate, to dislike	to hate, to dislike			Emotions
3574	to haul to shore	to haul to shore	to pull out of the water (boat, net)		N/a
3575	to haunt, bother	to haunt, bother			N/a
3576	to have a good relationship	to have a good relationship			N/a
3577	to have an appearance	to have an appearance			N/a
3578	to have equal rights	to have equal rights			N/a
3579	to have experience	to have experience			Abstract relations
3580	to have fun	to have fun			N/a
3581	to have luck	to have luck			N/a
3582	to have mercy	to have mercy			N/a
3583	to have opinion	to have opinion			Mental acts and states
3584	to have relationships (romantic or sexual)	to have relationships (romantic or sexual)			N/a
3585	to have smell	to have smell	to have a particular smell, whether good or bad		Perception
3586	to have strange ideas	to have strange ideas			N/a
3587	to have, possess	to have, possess			Possession
3588	to heal (of a wound)	to heal (of a wound)			Physical processes
3589	to hear	to hear			Perception
3590	to hear / to listen	to hear / to listen			N/a
3591	to heat up	to heat up			Physical effect
3592	to help, aid	to help, aid			Abstract relations
3593	to hesitate	to hesitate			N/a
3594	to hew	to hew			Physical effect
3595	to hide (tr.)	to hide (tr.)			Physical effect
3596	to hinder	to hinder			Interpersonal relations
3597	to hint	to hint			Speech
3598	to hiss	to hiss			N/a
3599	to hit by axe	to hit by axe			N/a
3600	to hit the target	to hit the target			Physical effect
3601	to hobble	to hobble	to fetter by tying the legs; to restrict a horse with hobbles		N/a
3602	to hold (in hands)	to hold (in hands)			Location
3603	to hope	to hope			Mental acts and states
3604	to howl	to howl			Sound
3605	to hug, embrace	to hug, embrace			Physical effect
3606	to humble, to abase	to humble, to abase			Interpersonal relations
3607	to hunt	to hunt			Physical effect
3608	to hurt	to hurt			Physical effect
3609	to ice over	to ice over			Physical processes
3610	to ignore	to ignore			Interpersonal relations
3611	to imitate	to imitate			Interpersonal relations
3612	to imitate	to imitate			Interpersonal relations
3613	to imprison	to imprison			N/a
3614	to improve	to improve			Abstract relations
3615	to improve (intr.), become better	to improve (intr.), become better	None		N/a
3616	to incline	to incline	to bend forward		N/a
3617	to increase (tr.)	to increase (tr.)			N/a
3618	to incur losses	to incur losses			Interpersonal relations
3619	to indicate something bad	to indicate something bad			N/a
3620	to induce	to induce			Interpersonal relations
3621	to inflate (intr.)	to inflate (intr.)	to enlarge by filling with air (or a gas)		N/a
3622	to inform, let know	to inform, let know			Interpersonal relations
3623	to infringe	to infringe			Interpersonal relations
3624	to inhabit, live	to inhabit, live			Location
3625	to inoculate	to inoculate			N/a
3626	to insert	to insert			Physical effect
3627	to instigate	to instigate			N/a
3628	to insult	to insult			N/a
3629	to intend	to intend			Volition
3630	to intoxicate	to intoxicate			N/a
3631	to invest	to invest			N/a
3632	to investigate	to investigate			Mental acts and states
3633	to investigate/examine	to investigate/examine			Mental acts and states
3634	to invite	to invite			Interpersonal relations
3635	to involve	to involve			Interpersonal relations
3636	to iron	to iron	to pass an iron over cloth in order to remove creases		N/a
3637	to itch	to itch			Physical processes
3638	to jeer, to scoff	to jeer, to scoff			N/a
3639	to join together (tr.)	to join together (tr.)			Physical effect
3640	to join, take part	to join, take part			N/a
3641	to joke	to joke			Speech
3642	to judge	to judge			Interpersonal relations
3643	to jump into the water	to jump into the water			N/a
3644	to keep a fire burning	to keep a fire burning	to place (a seed or plant) in soil or other substrate in order that it may live and grow		N/a
3645	to keep as a domestic animal	to keep as a domestic animal			N/a
3646	to keep silent	to keep silent			Speech
3647	to keep the fast	to keep the fast			N/a
3648	to keep, preserve, retain	to keep, preserve, retain			N/a
3649	to kick	to kick			Physical effect
3650	to kick	to kick			Physical effect
3651	to kill	to kill			Physical effect
3652	to kiss	to kiss			Physical effect
3653	to knead	to knead			Physical effect
3654	to knit	to knit	To make clothes, etc. by using two long needles to connect wool or another type of thread into joined rows (Cambridge Dictionary)		N/a
3655	to knock	to knock			Physical processes
3656	to knock down	to knock down			N/a
3657	to know	to know			Mental acts and states
3658	to know how	to know how			Modal
3659	to lack	to lack			Abstract relations
3660	to ladle out (soup)	to ladle out (soup)			N/a
3661	to land (of plane, bird etc.)	to land (of plane, bird etc.)	to descend to a surface from the air		N/a
3662	to last	to last			Phasal
3663	to laugh	to laugh			Emotions
3664	to launch a boat	to launch a boat			N/a
3665	to lead	to lead			Motion
3666	to lean on/against	to lean on/against			Physical effect
3667	to learn, find out	to learn, find out			Mental acts and states
3668	to learn, study	to learn, study			Mental acts and states
3669	to leave	to leave			Motion
3670	to leave behind	to leave behind			Motion
3671	to left untreated (disease)	to left untreated (disease)			N/a
3672	to lengthen	to lengthen			Physical effect
3673	to let	to let			Interpersonal relations
3674	to let go	to let go			Physical effect
3675	to let grow (of beard, moustaches, hairs)	to let grow (of beard, moustaches, hairs)			Physical effect
3676	to let someone get ahead	to let someone get ahead			N/a
3677	to let, leave	to let, leave			Physical effect
3678	to lick	to lick			Physical effect
3679	to lie (posture)	to lie (posture)			Location
3680	to lie down	to lie down			Motion
3681	to lie prostrate, as in reverence	to lie prostrate, as in reverence			N/a
3682	to light, to kindle (the fire)	to light, to kindle (the fire)			Physical processes
3683	to like	to like			Emotions
3684	to line up	to line up			N/a
3685	to listen	to listen			Perception
3686	to live, be alive	to live, be alive	None		Location
3687	to load	to load			Physical effect
3688	to load (weapon)	to load (weapon)			N/a
3689	to loaf, do nothing	to loaf, do nothing			Interpersonal relations
3690	to lock	to lock	to fasten with a lock		N/a
3691	to look	to look			N/a
3692	to look (e.g. well)	to look (e.g. well)			Perception
3693	to look around	to look around			N/a
3694	to look asquint	to look asquint			Perception
3695	to look inside	to look inside			N/a
3696	to lose	to lose			Possession
3697	to lose (an object)	to lose (an object)			N/a
3698	to lose colour	to lose colour	None		Physical processes
3699	to lose consciousness	to lose consciousness			Physiologic processes and states
3700	to lose fertility (of the soil)	to lose fertility (of the soil)			N/a
3701	to lose hope	to lose hope			N/a
3702	to lose one's mind	to lose one&#39;s mind			N/a
3703	to lose one's way	to lose one&#39;s way			Motion
3704	to lose smell or taste (of liquids)	to lose smell or taste (of liquids)			N/a
3705	to love	to love			Emotions
3706	to lower, put down	to lower, put down			Physical effect
3707	to make	to make			N/a
3708	to make a bonfire	to make a bonfire			N/a
3709	to make a hole	to make a hole			Physical effect
3710	to make a mistake, be wrong	to make a mistake, be wrong	None		Mental acts and states
3711	to make a move (in a game)	to make a move (in a game)			Motion
3712	to make a pause	to make a pause			N/a
3713	to make a telephone call	to make a telephone call			Speech
3714	to make big, large	to make big, large			Size
3715	to make black	to make black			Physical effect
3716	to make blunt	to make blunt	to dull the edge or point of, by making it thicker		N/a
3717	to make deaf	to make deaf			N/a
3718	to make disordered	to make disordered			Physical effect
3719	to make do smth.	to make do smth.			Abstract relations
3720	to make empty	to make empty			Physical effect
3721	to make hard	to make hard			Physical effect
3722	to make noise	to make noise			Physical processes
3723	to make plans	to make plans			N/a
3724	to make real	to make real	to convert from the imaginary or fictitious into reality; to bring into real existence		N/a
3725	to make sausage	to make sausage			N/a
3726	to make sb look at smth	to make sb look at smth			N/a
3727	to make scratches	to make scratches			Physical effect
3728	to make sit	to make sit			Physical effect
3729	to make smb/smth light (of weight)	to make smb/smth light (of weight)			N/a
3730	to make soft	to make soft	to soften		Abstract entities
3731	to make stand	to make stand			N/a
3732	to make white	to make white			N/a
3733	to make, create	to make, create			Physical effect
3734	to manage to do smth	to manage to do smth			Modal
3735	to marry	to marry			Interpersonal relations
3736	to marry off (a daughter)	to marry off (a daughter)			Interpersonal relations
3737	to mature	to mature			N/a
3738	to mean	to mean			N/a
3739	to measure	to measure			Physical effect
3740	to meet	to meet			Motion
3741	to meet (each other)	to meet (each other)			Interpersonal relations
3742	to meet accidentally	to meet accidentally			N/a
3743	to melt, to thaw	to melt, to thaw			Physical processes
3744	to menstruate	to menstruate			N/a
3745	to mention	to mention			N/a
3746	to milk	to milk			Physical effect
3747	to mill	to mill			Physical effect
3748	to miss somebogy, to long for	to miss somebogy, to long for			N/a
3749	to miss the target	to miss the target			Physical effect
3750	to misunderstand	to misunderstand			N/a
3751	to mix, stir	to mix, stir			Physical effect
3752	to mock	to mock	None		Speech
3753	to monitor, supervise	to monitor, supervise			N/a
3754	to moor	to moor	to fix or secure a vessel in a particular place by casting anchor, or by fastening with ropes, cables, chains or the like		N/a
3755	to mount a horse	to mount a horse	to place oneself on a horse		N/a
3756	to move	to move			Motion
3757	to move (intr.)	to move (intr.)			N/a
3758	to move away	to move away			Motion
3759	to move down (tr.)	to move down (tr.)			N/a
3760	to move ears (of animal)	to move ears (of animal)			Motion
3761	to move quickly	to move quickly			Motion
3762	to move smoothly, gently	to move smoothly, gently			Motion
3763	to move, change residence	to move, change residence			N/a
3764	to move, to shift, to transfer	to move, to shift, to transfer			Physical effect
3765	to mow grass	to mow grass			Physical effect
3766	to multiply	to multiply	to perform multiplication on (a number)		N/a
3767	to nail	to nail			N/a
3768	to name	to name			Interpersonal relations
3769	to need	to need			N/a
3770	to neigh	to neigh			Physical processes
3771	to nod	to nod	to incline the head up and down, as to indicate agreement		N/a
3772	to nomadize	to nomadize			Motion
3773	to not believe one's eyes	to not believe one&#39;s eyes			N/a
3774	to obey	to obey			Interpersonal relations
3775	to object	to object			Volition
3776	to oblige	to oblige			Interpersonal relations
3777	to observe	to observe			N/a
3778	to occupy, to conquest (territory)	to occupy, to conquest (territory)			Interpersonal relations
3779	to offend (tr.)	to offend (tr.)			Emotions
3780	to open (tr.)	to open (tr.)			Physical effect
3781	to open one's eyes wide	to open one&#39;s eyes wide			N/a
3782	to open one's mouth	to open one&#39;s mouth			N/a
3783	to oppress	to oppress			Interpersonal relations
3784	to order, command	to order, command			Interpersonal relations
3785	to overflow	to overflow			N/a
3786	to overpass the mountain passage	to overpass the mountain passage	to go over the pass in the mountains		N/a
3787	to overstep 	to overstep	to take a step in which the foot touches ground too far forward		N/a
3788	to owe, be in debt	to owe, be in debt	to be under obligation to repay the money received		Interpersonal relations
3789	to palpitate	to palpitate			Motion
3790	to pamper	to pamper			N/a
3791	to pass (of time)	to pass (of time)			Existence
3792	to pass by	to pass by			Motion
3793	to pasture, shepherd	to pasture, shepherd			Physical effect
3794	to pay	to pay			Interpersonal relations
3795	to pay attention	to pay attention	to be attentive; to focus one&#39;s attention		N/a
3796	to pay tax	to pay tax			N/a
3797	to peck (of a bird)	to peck (of a bird)			Physical effect
3798	to peel off (about skin)	to peel off (about skin)	to be stripped off, come off the body (about an outer layer of skin)		N/a
3799	to penetrate, get into	to penetrate, get into			N/a
3800	to perceive smell	to perceive smell	to sense a smell		Perception
3801	to perform	to perform			N/a
3802	to perform a shamanistic ritual	to perform a shamanistic ritual			N/a
3803	to persuade	to persuade			N/a
3804	to photograph	to photograph	to take a photograph (of)		N/a
3805	to pick, pull up (a plant)	to pick, pull up (a plant)			N/a
3806	to pierce	to pierce			N/a
3807	to pinch	to pinch			Physical effect
3808	to pity	to pity			Emotions
3809	to place in front of	to place in front of			N/a
3810	to plant	to plant	to place (a seed or plant) in soil or other substrate in order that it may live and grow		N/a
3811	to play (a musical instrument)	to play (a musical instrument)			Physical effect
3812	to play (intr.)	to play (intr.)			Interpersonal relations
3813	to play (theater, movie)	to play (theater, movie)	to act as the indicated role in a performance; to perform a play		N/a
3814	to play cards	to play cards	to play the game with playing cards		N/a
3815	to please	to please			N/a
3816	to pledge, pawn	to pledge, pawn	to deposit something as a security		Human being
3817	to plough	to plough			Physical effect
3818	to pluck (bird)	to pluck (bird)	to remove feathers from a bird		N/a
3819	to plunge	to plunge	to thrust into liquid		N/a
3820	to point	to point			N/a
3821	to poke, thrust	to poke, thrust			N/a
3822	to polish	to polish	to make a surface very smooth or shiny by rubbing, cleaning, or grinding		N/a
3823	to pound (of the pulse)	to pound (of the pulse)			N/a
3824	to pour	to pour			Physical effect
3825	to practice witchcraft	to practice witchcraft			Physical effect
3826	to praise	to praise			Interpersonal relations
3827	to pray	to pray			N/a
3828	to precede	to precede	None		Motion
3829	to predict misfortune	to predict misfortune			Interpersonal relations
3830	to prefer	to prefer			N/a
3831	to prepare	to prepare			Physical effect
3832	to present, gift	to present, gift			Interpersonal relations
3833	to press	to press	None		Physical effect
3834	to pretend	to pretend	None		Mental acts and states
3835	to prevent	to prevent			N/a
3836	to prick	to prick	to pierce or puncture slightly		N/a
3837	to print	to print			Physical effect
3838	to prohibit	to prohibit			Volition
3839	to promise	to promise			Speech
3840	to promote	to promote			N/a
3841	to prop up	to prop up			Physical effect
3842	to prosecute at law	to prosecute at law			N/a
3843	to prove	to prove			N/a
3844	to prove, to argue	to prove, to argue			Mental acts and states
3845	to provoke	to provoke			N/a
3846	to pull ashore	to pull ashore			N/a
3847	to pull hair	to pull hair			Physical effect
3848	to pull up (a plant)	to pull up (a plant)			Physical effect
3849	to pull, to draw	to pull, to draw			Physical effect
3850	to pump	to pump			N/a
3851	to punish	to punish			Interpersonal relations
3852	to purr	to purr			Sound
3853	to pursue	to pursue			N/a
3854	to push	to push			Physical effect
3855	to push	to push			Physical effect
3856	to put	to put			Physical effect
3857	to put into	to put into			Physical effect
3858	to put into the ground	to put into the ground			Physical effect
3859	to put on	to put on			N/a
3860	to put out	to put out			N/a
3861	to put out one’s toungue	to put out one’s toungue	to put out one’s toungue		N/a
3862	to put shoes on	to put shoes on			Physical effect
3863	to put the evil eye (on), to bedevil	to put the evil eye (on), to bedevil			Mental acts and states
3864	to put together	to put together	to gather, to assemble, to congregate		N/a
3865	to put up as a prize	to put up as a prize	None		Space
3866	to quarrel	to quarrel			Speech
3867	to raft timber	to raft timber			N/a
3868	to raise, lift (tr.)	to raise, lift (tr.)			Physical effect
3869	to rattle, rumble	to rattle, rumble			N/a
3870	to reach	to reach			Physical effect
3871	to reach	to reach			Motion
3872	to reach a state	to reach a state			N/a
3873	to read	to read			Mental acts and states
3874	to reap	to reap	to cut (for example a grain) with a sickle, scythe, or reaping machine; to gather (e.g. a harvest) by cutting		N/a
3875	to rear up	to rear up	to rise up, especially an animal like a horse rising up on its rear leg		N/a
3876	to recall, recollect	to recall, recollect			Mental acts and states
3877	to receive visitors	to receive visitors			Interpersonal relations
3878	to reckon	to reckon			N/a
3879	to recognize	to recognize			N/a
3880	to reconcile	to reconcile	to restore a friendly relationship		N/a
3881	to record	to record			N/a
3882	to recover	to recover	to become healthy after an illness		N/a
3883	to recover a debt	to recover a debt			N/a
3884	to refuse	to refuse			Interpersonal relations
3885	to refute	to refute			Interpersonal relations
3886	to regret	to regret			Mental acts and states
3887	to rein in	to rein in			N/a
3888	to reincarnate	to reincarnate			Interpersonal relations
3889	to rejoice	to rejoice	to be very happy, be delighted, exult; to feel joy		N/a
3890	to release a fountain (of whale)	to release a fountain (of whale)			N/a
3891	to relieve	to relieve			N/a
3892	to relocate	to relocate			N/a
3893	to remain, stay	to remain, stay			Location
3894	to remember	to remember			Mental acts and states
3895	to remember / recall	to remember / recall			N/a
3896	to remind	to remind			Abstract relations
3897	to remove from fire	to remove from fire			N/a
3898	to remove, eliminate	to remove, eliminate			Physical effect
3899	to render a wall	to render a wall	to cover a wall with a layer of plaster		N/a
3900	to repaire, to mend	to repaire, to mend			Physical effect
3901	to repatriate	to repatriate			N/a
3902	to repeat	to repeat			Phasal
3903	to repent	to repent			N/a
3904	to resemble, be alike	to resemble, be alike	None		Abstract relations
3905	to resign oneself	to resign oneself			N/a
3906	to respect	to respect			Interpersonal relations
3907	to rest	to rest			Physical processes
3908	to restrain, control one’s feelings	to restrain, control one’s feelings			Emotions
3909	to restrict one's rights	to restrict one&#39;s rights			N/a
3910	to result in	to result in			Abstract relations
3911	to return (intr.)	to return (intr.)			Motion
3912	to return (tr.)	to return (tr.)			Physical effect
3913	to revenge	to revenge			Interpersonal relations
3914	to revere	to revere			N/a
3915	to revive	to revive	None		Physical effect
3916	to revolt, rebel	to revolt, rebel			Interpersonal relations
3917	to ride (e.g., a horse)	to ride (e.g., a horse)			Motion
3918	to ride a surfboard	to ride a surfboard			N/a
3919	to ring (tr.)	to ring (tr.)	to make (a bell, etc.) produce a resonant sound		N/a
3920	to ripen	to ripen			Physical processes
3921	to rise (of Moon, Sun)	to rise (of Moon, Sun)	None		Motion
3922	to risk	to risk			Existence
3923	to rivet	to rivet			N/a
3924	to roast	to roast			Physical effect
3925	to rob	to rob	to steal from, especially using force or violence		N/a
3926	to roll up a trunk (of elephant)	to roll up a trunk (of elephant)			Physical effect
3927	to rot, putrefy	to rot, putrefy	None		Physical processes
3928	to rotate (tr.)	to rotate (tr.)			Motion
3929	to row (with oars)	to row (with oars)			Physical effect
3930	to rub	to rub			Physical effect
3931	to rub	to rub			Physical effect
3932	to run	to run			Motion
3933	to run away	to run away			N/a
3934	to run out (of smth)	to run out (of smth)			Existence
3935	to run wild	to run wild			N/a
3936	to sacrifice (relig.)	to sacrifice (relig.)			Interpersonal relations
3937	to saddle	to saddle	to put a saddle on		N/a
3938	to sail	to sail			Motion
3939	to sail into harbour	to sail into harbour			N/a
3940	to salt	to salt			Physical effect
3941	to save	to save	to help survive, rescue from harm		N/a
3942	to saw	to saw			Physical effect
3943	to say	to say			N/a
3944	to scald	to scald	to make burn with boiling water		N/a
3945	to scold	to scold			N/a
3946	to scratch (when itches)	to scratch (when itches)			Physical effect
3947	to scratch (with nails)	to scratch (with nails)			N/a
3948	to scream	to scream			N/a
3949	to sculpt in clay	to sculpt in clay	None		Motion
3950	to seal (a document)	to seal (a document)	to place a seal on (a document)		N/a
3951	to search, look for	to search, look for	None		Perception
3952	to see/to look at	to see/to look at			Perception
3953	to seem	to seem			Mental acts and states
3954	to seize	to seize			N/a
3955	to sell	to sell			Interpersonal relations
3956	to send	to send			Physical effect
3957	to sentence	to sentence	to declare a sentence on a convicted person		N/a
3958	to separate	to separate			Physical effect
3959	to set	to set	to fix or decide on as a time, limit, or regulation (Merriam-Webster)		N/a
3960	to set (of Moon, Sun)	to set (of Moon, Sun)	None		Motion
3961	to set a trap	to set a trap			N/a
3962	to set bounds	to set bounds			N/a
3963	to set cupping glass	to set cupping glass	to put cuppong glass on somebody&#39;s back		N/a
3964	to set free	to set free			Physical effect
3965	to set upright	to set upright			Physical effect
3966	to sew	to sew			Physical effect
3967	to shake	to shake			Physical effect
3968	to shake off	to shake off			N/a
3969	to share	to share			N/a
3970	to sharpen	to sharpen			N/a
3971	to shave	to shave			Physical effect
3972	to shear	to shear			Physical effect
3973	to shed hair or feathers	to shed hair or feathers	to moult, to shed or lose a covering of hair or fur, feathers, skin, horns, etc, and replace it with a fresh one		Physical processes
3974	to shed leaves	to shed leaves			Physiologic processes and states
3975	to shine	to shine			Physical processes
3976	to shine, glitter	to shine, glitter			Light and Colour
3977	to shirk	to shirk	to avoid, especially a duty, responsibility		N/a
3978	to shock (of electric current)	to shock (of electric current)			N/a
3979	to shoe (horses)	to shoe (horses)	to put horseshoes on a horse		N/a
3980	to shoot	to shoot			Physical effect
3981	to shout	to shout			Physical processes
3982	to show, indicate	to show, indicate			Interpersonal relations
3983	to shrink	to shrink			Physical processes
3984	to shrink (of textile)	to shrink (of textile)			Physical processes
3985	to shut one's eyes	to shut one&#39;s eyes			N/a
3986	to shut, close	to shut, close	None		Physical effect
3987	to sin	to sin			Interpersonal relations
3988	to sing	to sing			Sound
3989	to sink (tr.)	to sink (tr.)			Physical effect
3990	to sink into	to sink into			Motion
3991	to sit	to sit			Location
3992	to sit down	to sit down			Motion
3993	to ski	to ski	to move on skis		N/a
3994	to skin, flay	to skin, flay	to remove the skin and/or fur of an animal		N/a
3995	to skip over, overlook	to skip over, overlook			Mental acts and states
3996	to slake (hunger, thirst)	to slake (hunger, thirst)			Physiologic processes and states
3997	to slander	to slander			Interpersonal relations
3998	to slap one's thighs	to slap one&#39;s thighs			N/a
3999	to slaughter (cattle)	to slaughter (cattle)			Physical effect
4000	to sleep	to sleep			Physiologic processes and states
4001	to sleep one's fill	to sleep one&#39;s fill			N/a
4002	to slide	to slide			N/a
4003	to slide, slip	to slide, slip	to move smoothly, as on ice		N/a
4004	to slim	to slim	to lose weight in order to achieve slimness.		N/a
4005	to slip	to slip			N/a
4006	to slow, linger	to slow, linger			Motion
4007	to smear, anoint	to smear, anoint			Physical effect
4008	to smell bad	to smell bad	to stink		Physical processes
4009	to smile	to smile			Interpersonal relations
4010	to smoke (meat or fish)	to smoke (meat or fish)	to preserve or prepare food for consumption by treating with smoke		N/a
4011	to smoke (tobacco)	to smoke (tobacco)	None		Physical effect
4012	to smooth	to smooth			Physical effect
4013	to snitch	to snitch			N/a
4014	to snore	to snore			N/a
4015	to snuff a candle	to snuff a candle	to remove burnt remains of a candle wick		Interpersonal relations
4016	to soar	to soar			Motion
4017	to soften (an object)	to soften (an object)			N/a
4018	to soil, make dirty	to soil, make dirty			Physical effect
4019	to solve (a problem)	to solve (a problem)			Mental acts and states
4020	to sound	to sound			Physical processes
4021	to sow	to sow			Physical effect
4022	to spare, to economize	to spare, to economize			N/a
4023	to spawn	to spawn			Physical processes
4024	to speak	to speak			Speech
4025	to spell	to spell			N/a
4026	to spend (money)	to spend (money)			N/a
4027	to spit	to spit			Physiologic processes and states
4028	to spoil (intr.)	to spoil (intr.)			Physical processes
4029	to spoil (tr.)	to spoil (tr.)			N/a
4030	to spread (intr.)	to spread (intr.)			Motion
4031	to spread one's arms	to spread one&#39;s arms			N/a
4032	to spring, jump	to spring, jump			Motion
4033	to sprinkle	to sprinkle			Motion
4034	to spur a horse	to spur a horse	to prod a horse on the side or flank, with the intent to urge motion or haste		N/a
4035	to spy	to spy			N/a
4036	to squeak	to squeak			Physical processes
4037	to squeeze	to squeeze	to apply pressure from two or more sides at once		N/a
4038	to stab	to stab	to pierce or to wound (somebody) with a pointed tool or weapon, especially a knife or dagger		N/a
4039	to stab with a spear	to stab with a spear			N/a
4040	to stammer, stutter	to stammer, stutter	to keep repeating a particular sound involuntarily during speech		N/a
4041	to stamp one's foot	to stamp one&#39;s foot			N/a
4042	to stand	to stand			Location
4043	to stand in front	to stand in front			N/a
4044	to stand motionless	to stand motionless			N/a
4045	to stand near	to stand near			N/a
4046	to stand still	to stand still			N/a
4047	to stand up	to stand up			Motion
4048	to stare	to stare			N/a
4049	to start moving	to start moving			N/a
4050	to stay awake	to stay awake			N/a
4051	to steal	to steal			Physical effect
4052	to steer a vessel	to steer a vessel	to guide the course of a vessel (by means of a device such as a rudder, paddle, or steering wheel)		N/a
4053	to step on	to step on			Physical effect
4054	to stick, adhere	to stick, adhere	None		Physical effect
4055	to sting	to sting			Physical effect
4056	to stop (intr.)	to stop (intr.)			Phasal
4057	to stop (tr.)	to stop (tr.)			Physical effect
4058	to stop doing smth.	to stop doing smth.			Phasal
4059	to stop feeling pain	to stop feeling pain			N/a
4060	to stop moving	to stop moving			N/a
4061	to straighten	to straighten	to cause to become straight		N/a
4062	to strain	to strain			Physical effect
4063	to strengthen	to strengthen	to make harder, stronger		N/a
4064	to strew	to strew			Physical effect
4065	to strike, hit	to strike, hit	None		Physical effect
4066	to struggle	to struggle			N/a
4067	to stumble	to stumble			N/a
4068	to stumble on	to stumble on			N/a
4069	to stun, to knock out	to stun, to knock out			N/a
4070	to subjugate	to subjugate			Interpersonal relations
4071	to subside (medicine)	to subside (medicine)	decrease in intensity (of symptoms); to pass (of illness)		N/a
4072	to subtract	to subtract			N/a
4073	to succeed	to succeed			Interpersonal relations
4074	to suck	to suck			Physical effect
4075	to suffer	to suffer			Physical processes
4076	to suffer from hunger	to suffer from hunger			N/a
4077	to suffer from rheumatism	to suffer from rheumatism	to fetter from reumatism		N/a
4078	to suffice, be enough	to suffice, be enough	to occur in a satisfactory quantity or to a satisfactory degree		Abstract relations
4079	to suit (of clothes)	to suit (of clothes)			Abstract relations
4080	to suppress	to suppress			N/a
4081	to surpass	to surpass	to be better than something or someone else		N/a
4082	to surpass, exceed	to surpass, exceed			Size
